Cantón,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Sarchí,0.543939705997628,0.546443721115455,0.553997239406059,0.553887732747157,0.560878762144382,0.564453280821214,0.566874207870769,0.569789016714524,0.572141442653009,0.575989510796061,0.57955169007752
Upala,0.418716968244648,0.426950571504812,0.4385386026505,0.446737576985929,0.453154180454586,0.461385357401068,0.467994575157874,0.468667094468722,0.471173976980644,0.472027304902782,0.467476355259743
Los Chiles,0.39671283486922,0.405365900145902,0.413963219377099,0.421262597584228,0.425033942089212,0.433411952490992,0.438579938161148,0.44000385881984,0.433921375172512,0.431585306091943,0.427388000970885
Guatuso,0.439669958198775,0.443277678680925,0.447327391096989,0.456009490284765,0.45699084420534,0.470469642308586,0.479641990533867,0.482402259789463,0.487923081494362,0.496312594312995,0.502843924887832
Río Cuarto,,,,,,,,,,0.540875618763619,0.543777336438208
Cartago,0.586625320147102,0.604956079999604,0.608734437643929,0.607492395846872,0.614996654802031,0.60748253214718,0.607763975388979,0.605548386921736,0.602302533393215,0.597400780959163,0.597365119105891
Paraíso,0.554967686640569,0.557952296423903,0.562709697126535,0.565844564474868,0.572542243668588,0.571333437760118,0.571703279046487,0.572846633426311,0.572162875956021,0.570345015271323,0.567771197428062
La Unión,0.612131614044251,0.611431872163537,0.614975138024068,0.615536087095419,0.61399836118299,0.616345974342439,0.61754116832158,0.617824044520036,0.615790763469086,0.614733598766693,0.614747333481422
Jiménez,0.504950523184441,0.504764526053062,0.506775984847453,0.589399325451311,0.510959293635728,0.616146298817471,0.624057287938637,0.631767708481806,0.63695596540687,0.643125534606322,0.648967456214203
Turrialba,0.512125589932846,0.511666425530937,0.511560705343767,0.497815603850551,0.51177824843439,0.493202755679079,0.495209971485155,0.491524223993292,0.492067979962142,0.488797426411784,0.488058072801532
Alvarado,0.540328341758081,0.544412471388267,0.547770033073629,0.493658830101026,0.557600124457243,0.497206705191345,0.497277427242333,0.497965498874148,0.500726713854646,0.494779016843048,0.490017679740824
Oreamuno,0.588409263660799,0.588184788728416,0.59058519791272,0.614440636206723,0.598775619093235,0.629539114995469,0.634819659709742,0.640348529387161,0.643702126875761,0.647532901176763,0.651477418431999
El Guarco,0.545467313177628,0.548707899942488,0.552367397118791,0.559340333995681,0.558741996948276,0.577676477578599,0.586127946201443,0.595258557795471,0.600736251808085,0.606970812543535,0.612454793194153
Heredia,0.66037269959912,0.659418911180526,0.659434324327996,0.639269536315434,0.65840822747265,0.636271961495369,0.636532927349002,0.636927578257039,0.635679004655259,0.6345992977683,0.635619827198119
Barva,0.626930366146203,0.627053808020447,0.626738170722592,0.66107408099307,0.625905455150261,0.663634438243325,0.664820369062361,0.664914876976762,0.663787638975394,0.663758154126405,0.663591105330132
Santo Domingo,0.654469844688186,0.653836171665043,0.654321725176095,0.652852945008016,0.653180356370083,0.651977544730162,0.653517102779378,0.653790355804325,0.652228129823004,0.651871048626618,0.653602639092634
Santa Bárbara,0.600030127544708,0.600000990092966,0.602321751433862,0.62486732275641,0.606058750644209,0.633305994142357,0.638401537772677,0.642090814309906,0.643977324820132,0.647022358926487,0.649977176642286
San Rafael,0.616390722166599,0.618291209472991,0.620858775299524,0.626084487303995,0.623501629256694,0.630168894472443,0.631962143755528,0.632687252400898,0.632589590907852,0.631988343520671,0.632810749894558
San Isidro,0.63169336010728,0.630957680771786,0.631796859314928,0.648113271404604,0.630706870447158,0.65278796602245,0.653656529717973,0.655289985665378,0.657797765084282,0.661231717882477,0.663711454991761
Belén,0.64400242306065,0.647153204672053,0.651376754622235,0.671412446329121,0.660272432987983,0.68125966400564,0.684417821412831,0.685876333095109,0.686302979227951,0.688273702808344,0.689443040703811
Flores,0.618037427114888,0.618461687560349,0.618531896625179,0.576498355204419,0.617140306055481,0.561876394274979,0.557813022950715,0.558031316639895,0.555599506942881,0.549838713027346,0.545892554568717
San Pablo,0.68937531351274,0.688130964729479,0.686869284036372,0.706955546663659,0.684122464413278,0.706773048348006,0.707719105472309,0.707552743684056,0.70672731673379,0.706528134862033,0.706441124852587
Sarapiquí,0.358612044032419,0.382328533214821,0.393557849639421,0.403433805089209,0.411697680431364,0.419548262081658,0.429382144019261,0.435691331656751,0.440621425520665,0.439814915895148,0.446574011870243
Liberia,0.509815561639631,0.541250537627637,0.547081133338452,0.547063033351965,0.556508662250828,0.557481156997242,0.562341136344491,0.564235308891762,0.564878727045871,0.565240608227456,0.56686727934223
Nicoya,0.507103633031883,0.499403085175646,0.503773219418675,0.498643628370361,0.50685255959444,0.497655966116895,0.499700946120998,0.499708884638768,0.49920852356457,0.49959994528495,0.501656869300931
Santa Cruz,0.428040033903932,0.453226135599664,0.450430268151729,0.445957948480183,0.446864308390927,0.441895765859062,0.44406926615889,0.442094333188494,0.443079232683173,0.441251100625249,0.441857037517771
Bagaces,0.456155110973626,0.462153664348389,0.469928530214266,0.479853011046034,0.484059151467832,0.491297892170999,0.495588649224326,0.495947172217608,0.495717156778597,0.495261221114091,0.498255408494444
Carrillo,0.493651850589792,0.491878746500125,0.494725179765074,0.496325985555466,0.499536684886927,0.500077725989391,0.502034726718035,0.502253548190371,0.501163629451207,0.500476944022724,0.499041432176591
Cañas,0.498958184969704,0.504314771921838,0.507258330887889,0.50327147762925,0.513174681593173,0.513023818440233,0.519178897557574,0.524197526385041,0.527140084570728,0.52738208717448,0.528193878382609
Abangares,0.480967216296073,0.481160168756579,0.484298474533389,0.48701369981893,0.485776290793152,0.488914690762633,0.488957627937015,0.48837245365732,0.490289563681198,0.490418155327374,0.497185399491615
Tilarán,0.520110926904007,0.523093499478959,0.529740944122247,0.523883671368794,0.535767891721549,0.527804372205876,0.526416801810247,0.522504453723668,0.521154197716712,0.501638868939469,0.492247920657901
Nandayure,0.408860959984211,0.406332059096998,0.401021098633381,0.4058092931798,0.404644627895206,0.415223422338731,0.411849881667313,0.411669119755598,0.411545898743291,0.409265791668935,0.40560133218219
La Cruz,0.417353637205636,0.425794200166542,0.432583315750091,0.436451311720883,0.446888049116587,0.449158056157393,0.456547702984428,0.461490551957107,0.464723505541177,0.467846997455982,0.463388109777239
Hojancha,0.38764814024675,0.391467548247616,0.38568856711036,0.395242311084862,0.395959392253815,0.397909384287373,0.401302240220564,0.396003165734043,0.391828592533682,0.387890935621747,0.391691285001858
Puntarenas,0.479807538200299,0.495554388955497,0.498137154774616,0.496365113916559,0.502162252065714,0.503785480905156,0.508837748502821,0.511605130039902,0.514838667016152,0.514678658315394,0.516343458889779
Esparza,0.529221115558501,0.527417423547178,0.529141556535573,0.526095017471477,0.528450501365031,0.530062759594607,0.535226219808773,0.53878842395026,0.543327743191377,0.544951844456068,0.5456654557137
Buenos Aires,0.380645987521319,0.388293404709884,0.398313489624584,0.40449047992596,0.407946867136582,0.416608136020214,0.420078894469008,0.423782049710422,0.430057942562032,0.434611551796237,0.442346155999825
Montes de Oro,0.510659089520884,0.507521272982362,0.513433173937356,0.517230648453562,0.526590999807593,0.531023879466462,0.532976766663255,0.532840194232405,0.53564966036437,0.53054037604178,0.530001076248233
Osa,0.403426897254387,0.405097914490789,0.409417210122096,0.401582949181358,0.406575105534736,0.398497771384184,0.397738984217916,0.394574759118266,0.393590979594303,0.38985415229575,0.390711849752476
Quepos,0.45149730694635,0.455620895598014,0.461815103770844,0.466241150775425,0.472684682606759,0.476005864831109,0.477539755290543,0.479271675742195,0.483449169028805,0.484609543661126,0.487846066174634
Golfito,0.420084820793725,0.422854500267698,0.429448201960328,0.434753912293929,0.433186097202732,0.437660959743012,0.437430418846624,0.435835444192773,0.436183824617152,0.435053822840403,0.430979913529197
Coto Brus,0.352236154926918,0.397129320148062,0.403490753482132,0.412907472574004,0.41176716247368,0.422085825985171,0.421836981395486,0.418949228566166,0.420366286795809,0.418776312948091,0.420927120636703
Parrita,0.419147507604918,0.431888597000827,0.443536982961566,0.453524583006938,0.465462909689122,0.473479907768527,0.478838730294695,0.482054492256595,0.488853991685823,0.496314169115301,0.498110833907703
Corredores,0.478461732411822,0.480085318566419,0.485763874815829,0.483182851730658,0.488511536915665,0.483300393128517,0.481270337963615,0.480339026701973,0.479792681490526,0.478602523592445,0.478572297908855
Garabito,0.448548265074973,0.447767796765509,0.448154301416184,0.450470358256046,0.446515035694827,0.448212845554412,0.454544213309056,0.458119409158784,0.461166678409244,0.463561628171678,0.465979761621778
Limón,0.500922887743641,0.507411856951745,0.515072584953364,0.520807818590453,0.524095336047072,0.531045680110088,0.536699304176831,0.540159014862637,0.542246913539988,0.543938570516256,0.547100528158975
Pococí,0.441554538841209,0.462146080647065,0.468895283089946,0.472474108124927,0.477874123419312,0.482251698510143,0.485984904184218,0.488515097617921,0.489966927293903,0.488397330295753,0.489465378261087
Siquirres,0.429050347655474,0.434466065353321,0.44270160319277,0.451052547124111,0.454069714930661,0.461133263543904,0.465089638585384,0.467621385770084,0.469841628973295,0.471320571908797,0.472092422526977
Talamanca,0.323646533485165,0.326716321635393,0.33911893202285,0.351919950626183,0.354701797464087,0.367091477642035,0.374803222926037,0.37825567863391,0.382645905618911,0.382304788789028,0.383979190571837
Matina,0.343515196063567,0.349980561198845,0.35889868687168,0.367625202953077,0.375383251478551,0.38451422706716,0.392971946808858,0.399885488065903,0.403764240675879,0.405211443539864,0.408873185727133
Guácimo,0.430404933282009,0.436459860070126,0.444406547079536,0.449209750617491,0.452179016619009,0.457371851019883,0.462686761527369,0.466534942928805,0.467382669588533,0.468849822324226,0.470359418616938
