gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4134168570	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/166930039	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.379349	-83.29222	9.0						2023-06-11T13:48:20	11	6	2023	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	166930039		treerescie	2023-06-12T04:29:04	CC_BY_NC_4_0	treerescie	treerescie			2024-10-19T13:17:30.961Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4133904178	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/166916108	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.303049	-83.858868	84.0						2023-03-31T07:19:04	31	3	2023	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	166916108		napoleon1799	2023-06-12T00:37:55	CC_BY_NC_4_0	drewdavis74	drewdavis74			2024-10-19T14:08:50.319Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4129770515	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/155411899	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera onca		SPECIES	Panthera onca (Linnaeus, 1758)	Panthera onca		CR		Guanacaste	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.857479	-85.738478	31169.0						2023-04-10T11:51:04	10	4	2023	5219426	5219426	HUMAN_OBSERVATION	iNaturalist	Observations	155411899		shelfand	2023-04-18T01:32:45	CC_BY_NC_4_0	shelfand	shelfand			2024-10-19T13:45:36.389Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4121351903	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/162674211	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma yagouaroundi		SPECIES	Herpailurus yagouaroundi (É.Geoffroy Saint-Hilaire, 1803)	Herpailurus yagouaroundi		CR		Guanacaste	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.204201	-85.272336	65.0						2023-05-19T16:00	19	5	2023	5787224	2435146	HUMAN_OBSERVATION	iNaturalist	Observations	162674211		Caminos Amigables con Felinos-Panthera	2023-05-20T15:04:32	CC_BY_NC_4_0	Caminos Amigables con Felinos-Panthera	Caminos Amigables con Felinos-Panthera			2024-10-19T13:50:49.179Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4121145362	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/68701308	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		San José	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.603693	-84.406594	31227.0						2021-01-22T06:51	22	1	2021	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	68701308		Diego Lobo Montoya	2021-01-27T23:07:58	CC_BY_NC_4_0	Diego Lobo Montoya	Diego Lobo Montoya			2024-10-19T13:37:00.561Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4120840037	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/162756164	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Guanacaste	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.539813	-85.30513	4.0						2023-05-20T15:27:46	20	5	2023	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	162756164		EsmeraldaArévalo	2023-05-20T21:35:47	CC_BY_NC_4_0	EsmeraldaArévalo	EsmeraldaArévalo			2024-10-19T13:49:27.555Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4116150520	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/160834494	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.639392	-83.455473	14951.0						2023-03-07T16:17:12	7	3	2023	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	160834494		allisonshep	2023-05-10T00:50:06	CC_BY_NC_4_0	allisonshep	allisonshep			2024-10-19T13:47:43.919Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4111892544	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/160011407	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.959587	-85.223282	224.0						2023-05-05T14:20	5	5	2023	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	160011407		loicdeleeuw	2023-05-06T04:39:20	CC_BY_NC_4_0	loicdeleeuw	loicdeleeuw			2024-10-19T13:16:16.710Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4111755615	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/158079355	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Limón	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.121731	-83.553343	297.0						2023-04-28T07:19	28	4	2023	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	158079355		Caminos Amigables con Felinos-Panthera	2023-04-30T13:29:57	CC_BY_NC_4_0	Caminos Amigables con Felinos-Panthera	Caminos Amigables con Felinos-Panthera			2024-10-19T13:49:09.571Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4111712168	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/159677599	Animalia	Chordata	Mammalia	Carnivora	Felidae	Puma	Puma concolor		SPECIES	Puma concolor (Linnaeus, 1771)	Puma concolor		CR		Heredia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.411692	-84.115868	206.0						2023-04-12T10:09:52	12	4	2023	2435099	2435099	HUMAN_OBSERVATION	iNaturalist	Observations	159677599		perles	2023-05-04T16:08:41	CC_BY_NC_4_0	perles	perles			2024-10-19T13:49:56.131Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
